0,1,20,34,9,22,8,21,28,16,41,15,19,30,23,38,7,25,31,26,29,18,32,3,4,37,6,13,39,11,33,36,5,17,24,14,40,10,27,35,2,12
1,8,16,41,0,34,30,22,32,7,9,18,28,3,21,20,11,13,33,4,6,38,25,15,19,23,35,24,17,31,29,10,26,37,39,40,12,27,36,5,14,2
2,14,5,36,27,12,40,39,26,37,10,29,17,31,35,24,19,23,25,15,6,38,33,4,13,11,21,20,28,3,18,9,7,32,22,30,34,0,41,16,8,1
3,33,32,6,16,30,11,41,40,34,25,18,35,1,17,21,13,10,7,8,12,0,14,37,9,23,24,28,2,20,29,4,27,22,36,19,39,5,38,26,15,31
4,24,28,13,7,39,38,18,31,10,8,27,22,11,41,5,15,35,32,12,1,2,0,26,20,33,16,36,19,40,34,14,9,3,29,6,30,37,23,17,21,25
5,2,31,36,26,39,27,29,24,14,12,15,38,37,19,10,4,23,17,40,20,35,22,28,13,25,9,11,7,6,33,0,8,21,18,34,30,32,41,3,1,16
6,17,3,40,30,33,25,21,35,14,16,32,37,34,12,11,23,18,29,10,9,36,41,1,2,19,13,27,0,7,26,5,8,20,24,4,15,39,22,31,28,38
7,18,28,13,4,41,8,24,1,11,32,38,22,10,16,39,0,35,33,3,27,34,31,15,20,12,30,5,9,40,6,26,19,2,21,14,36,25,23,17,29,37
8,1,28,41,7,22,0,18,20,16,34,4,38,32,13,9,15,11,3,30,24,21,39,31,19,33,10,23,26,6,25,27,5,35,29,12,40,37,36,17,2,14
9,21,20,19,23,0,34,29,1,15,25,30,22,37,26,16,8,31,17,36,38,6,41,28,3,5,14,32,7,39,40,33,4,2,18,12,27,11,13,35,24,10
10,24,35,11,13,12,27,18,2,4,33,40,39,7,32,5,14,28,3,41,38,6,36,17,31,8,16,26,37,30,22,15,25,1,29,0,34,19,23,20,21,9
11,18,35,13,32,10,33,24,3,7,41,12,40,4,16,27,6,28,8,1,39,30,2,14,17,38,34,5,25,22,0,36,37,31,21,15,9,26,23,20,29,19
12,2,35,27,10,40,14,24,17,5,36,33,11,39,13,6,37,4,3,32,18,29,26,31,25,7,38,23,30,19,15,41,16,28,21,8,22,9,34,20,1,0
13,18,24,11,7,10,4,35,28,32,41,27,39,33,8,12,38,3,16,1,40,22,2,5,31,6,0,14,15,30,34,36,26,17,20,25,9,37,19,21,29,23
14,2,17,36,37,40,12,29,35,5,27,25,6,26,23,10,33,19,31,39,21,24,30,3,11,15,9,13,32,38,4,34,16,20,18,0,22,7,41,28,1,8
15,20,31,19,26,22,38,29,28,9,5,0,39,23,36,8,4,21,37,34,2,1,27,7,24,25,14,41,13,30,12,16,10,17,18,6,40,32,11,3,35,33
16,1,3,41,32,30,34,18,21,8,0,33,6,7,11,9,25,13,28,22,35,20,40,17,23,4,10,19,37,38,15,12,14,24,29,27,39,26,36,31,2,5
17,25,37,6,14,40,23,36,30,12,33,29,21,2,3,35,19,9,26,5,34,27,16,32,10,11,20,31,1,24,18,15,0,39,41,13,22,8,38,7,4,28
